rating,snippet,label_sentimen,tokens
5.0,universitas telekomunikasi surabaya adalah perguruan tinggi yang menawarkan berbagai program studi di bidang teknologi dan bisnis dengan fasilitas yang lengkap dan pengajaran berkualitas kampus ini menjadi pilihan populer bagi mahasiswa yang ingin mengembangkan keterampilan di industri digital,positif,"['universitas', 'telekomunikasi', 'surabaya', 'guru', 'tawar', 'program', 'studi', 'bidang', 'teknologi', 'bisnis', 'fasilitas', 'lengkap', 'ajar', 'kualitas', 'kampus', 'pilih', 'populer', 'mahasiswa', 'kembang', 'terampil', 'industri', 'digital']"
5.0,salah satu kampus itu telekomunikasi di daerah strategis surabaya tepatnya di daerah ketintang program studi disini juga lumayan lengkap fasilitas cukup memadai dan baik halamannya cukup luas dan bersih sangat recommended untuk belajar disini,positif,"['salah', 'kampus', 'telekomunikasi', 'daerah', 'strategis', 'surabaya', 'tepat', 'daerah', 'ketintang', 'program', 'studi', 'lumayan', 'lengkap', 'fasilitas', 'pada', 'halaman', 'luas', 'bersih', 'recommended', 'ajar']"
5.0,kampusnya bagus layanannya cepat dan mempermudah dalam menyelesaikan pertanyaan,positif,"['kampus', 'bagus', 'layan', 'cepat', 'mudah', 'selesai']"
1.0,kangen suasana shalt ied di lapangan telekomunikasi tidak di dalam masjid telekomunikasi ketintang karena sunahnya shalat di lapangan agar takbir terdengar dengan lantang,netral,"['kangen', 'suasana', 'shalt', 'ied', 'lapang', 'telekomunikasi', 'masjid', 'telekomunikasi', 'ketintang', 'sunah', 'shalat', 'lapang', 'takbir', 'dengar', 'lantang']"
5.0,salah satu opsi terbaik untuk studi lanjut dibidang itu karena dibawa naungan bumn terbaik negeri kedepan tentu akan jadi salah satu perguruan tinggi ternama di jatim dan indoensia,positif,"['salah', 'opsi', 'baik', 'studi', 'bidang', 'bawa', 'naung', 'bumn', 'baik', 'negeri', 'depan', 'salah', 'guru', 'nama', 'jatim', 'indoensia']"
5.0,penggemar bakso hayo coba rasa bakso saya di ketintang depan telekomunikasi,positif,"['gemar', 'bakso', 'hayo', 'coba', 'bakso', 'ketintang', 'telekomunikasi']"
5.0,pelayanan nya sangat bagus membantu sekali saat kita mau mendaftar online sebagai mahasiswa baru,positif,"['layan', 'nya', 'bagus', 'bantu', 'daftar', 'online', 'mahasiswa']"
5.0,satpamnya ramah dan membantu sekali untuk mengarahkan saat ada yang perlu bantuan,positif,"['satpam', 'ramah', 'bantu', 'arah', 'bantu']"
5.0,baik cukup berkesan,positif,['kesan']
5.0,mantap pelayanannya bahkan pengin masuk sini,positif,"['mantap', 'layan', 'pengin', 'masuk']"
5.0,semuanya sempurna tidak ada yang kurang dari pelayanan nya semoga saya bisa bergabung di uts,positif,"['sempurna', 'layan', 'nya', 'moga', 'gabung', 'uts']"
5.0,makanan di swk enak enak lokasi kampusnya juga selalu bersih,positif,"['makan', 'swk', 'enak', 'enak', 'lokasi', 'kampus', 'bersih']"
5.0,tempat anak saya akan kuliah selama 4 tahun ke depan,netral,"['anak', 'kuliah', '4']"
5.0,costumer service ramah menanggapi setiap pertanyaan dengan jelas,positif,"['costumer', 'service', 'ramah', 'tanggap']"
5.0,berkunjung ke sini pengin jalan jalan saja lihat kampus securitynya raaamaaah,positif,"['kunjung', 'pengin', 'jalan', 'jalan', 'lihat', 'kampus', 'securitynya', 'raaamaaah']"
5.0,layanan yang sangat ramah juga fasilitas yang sangat nyaman untuk belajar,positif,"['layan', 'ramah', 'fasilitas', 'nyaman', 'ajar']"
5.0,kampusnya bersih dekat dari mana mana dan ada wifi cornernya,positif,"['kampus', 'bersih', 'wifi', 'cornernya']"
