rating,snippet,tokens,label_sentimen
5.0,lokasi kampusnya strategis 1 menit keluar tol pasar minggu lulusan nya memiliki kompetensi dan knowledge keren tidak percaya cek di google via meta ai juga boleh cyberian newgeneration,"['lokasi', 'kampusnya', 'strategis', '1', 'menit', 'keluar', 'tol', 'pasar', 'minggu', 'lulusan', 'nya', 'memiliki', 'kompetensi', 'dan', 'knowledge', 'keren', 'tidak', 'percaya', 'cek', 'di', 'google', 'via', 'meta', 'ai', 'juga', 'boleh', 'cyberian', 'newgeneration']",positif
5.0,fasilitas nya ⭐⭐⭐⭐⭐ ac nya masyaallah dingin banget 🥶,"['fasilitas', 'nya', '⭐⭐⭐⭐⭐', 'ac', 'nya', 'masyaallah', 'dingin', 'banget', '🥶']",positif
5.0,kampus yang cocok untuk era digitalisasi dan milenial kampusnya keren,"['kampus', 'yang', 'cocok', 'untuk', 'era', 'digitalisasi', 'dan', 'milenial', 'kampusnya', 'keren']",positif
5.0,dosen dosen universitas siber indonesia berpengalaman,"['dosen', 'dosen', 'universitas', 'siber', 'indonesia', 'berpengalaman']",positif
5.0,kampus saya makin keren saja 😁 sebagai angkatan pertama yang lulus semoga makin banyak adek kelas saya 🥳 dosen nya keren keren 🙌🏻,"['kampus', 'saya', 'makin', 'keren', 'saja', '😁', 'sebagai', 'angkatan', 'pertama', 'yang', 'lulus', 'semoga', 'makin', 'banyak', 'adek', 'kelas', 'saya', '🥳', 'dosen', 'nya', 'keren', 'keren', '🙌🏻']",positif
5.0,pengajar yang bepengalam kampus yang nyaman biaya kuliah terjangkau dan cocok untuk calon mahasiswa yang milenial,"['pengajar', 'yang', 'bepengalam', 'kampus', 'yang', 'nyaman', 'biaya', 'kuliah', 'terjangkau', 'dan', 'cocok', 'untuk', 'calon', 'mahasiswa', 'yang', 'milenial']",positif
5.0,berawal dari bri institute menjadikan cyber university kampus baru yang mendapat banyak kepercayaan dari orang tua untuk mengkuliahkan putrai nya disini 👍👍,"['berawal', 'dari', 'bri', 'institute', 'menjadikan', 'cyber', 'university', 'kampus', 'baru', 'yang', 'mendapat', 'banyak', 'kepercayaan', 'dari', 'orang', 'tua', 'untuk', 'mengkuliahkan', 'putrai', 'nya', 'disini', '👍👍']",positif
5.0,ternyata ada kampus bagus di tb simatupang,"['ternyata', 'ada', 'kampus', 'bagus', 'di', 'tb', 'simatupang']",positif
5.0,baik sekali,"['baik', 'sekali']",positif
5.0,kampusnya sangat nyaman terutama di perpusnya lokasi strategis,"['kampusnya', 'sangat', 'nyaman', 'terutama', 'di', 'perpusnya', 'lokasi', 'strategis']",positif
