rating,snippet,tokens,label_sentimen
4.0,kampus para mahasiswa teknik menimba ilmu tapi fakultas tekniknya bukan cuma jurusan elektro saja ya tapi memang fokus utamanya lebih banyak untuk mendukung usaha kelistrikan pln dengan motto masa depan bidang energi itu jelas kelistrikan dan pilarnya adalah itu pln kata pak darmawan prasojo dirut pln,"['kampus', 'para', 'mahasiswa', 'teknik', 'menimba', 'ilmu', 'tapi', 'fakultas', 'tekniknya', 'bukan', 'cuma', 'jurusan', 'elektro', 'saja', 'ya', 'tapi', 'memang', 'fokus', 'utamanya', 'lebih', 'banyak', 'untuk', 'mendukung', 'usaha', 'kelistrikan', 'pln', 'dengan', 'motto', 'masa', 'depan', 'bidang', 'energi', 'itu', 'jelas', 'kelistrikan', 'dan', 'pilarnya', 'adalah', 'itu', 'pln', 'kata', 'pak', 'darmawan', 'prasojo', 'dirut', 'pln']",positif
2.0,untuk sekarang kampus sudah bagus banyak fasilitas yang sudah memadai alangkah baiknya dengan majunya fasilitas ini diimbangi dengan kinerja para staf dan dosen yang bekerja disini agar antara mahasiswa dan staf bisa memberikan pelayanan yang terbaik terutama staf fakultas yang galak dan kadang menyepelekan kebutuhan mahasiswa hal ini sangat menganggu saya diwaktu saya mengurus administrasi baik untuk sidang maupun wisuda tolong lebih di upgrade lagi lah pelayanannya kasihan kampus deh bagus bagus tapi kalau pelayanannya kureng buat apa kurangi pungli pungli yang di dalam kampus sih sayang banget kalau sekelas kampus itu pln di dalemnya masih ada yang nyuruh beli ini itu demi nilai bagus nanti di anjungannya untuk dosen sudah bagus namun masih banyak oknum” yang mencoreng nama bagus dosen ada yang tidak pernah masuk dan juga ada yang tiba tiba masuk waktu uas nyruh beli buku kalau tidak beli tidak dapat nili bagus 😂 semoga apresiasi dan kritik ini menjadi bahan pertimbangan staf dan dosen dikampus ini meningkat,"['untuk', 'sekarang', 'kampus', 'sudah', 'bagus', 'banyak', 'fasilitas', 'yang', 'sudah', 'memadai', 'alangkah', 'baiknya', 'dengan', 'majunya', 'fasilitas', 'ini', 'diimbangi', 'dengan', 'kinerja', 'para', 'staf', 'dan', 'dosen', 'yang', 'bekerja', 'disini', 'agar', 'antara', 'mahasiswa', 'dan', 'staf', 'bisa', 'memberikan', 'pelayanan', 'yang', 'terbaik', 'terutama', 'staf', 'fakultas', 'yang', 'galak', 'dan', 'kadang', 'menyepelekan', 'kebutuhan', 'mahasiswa', 'hal', 'ini', 'sangat', 'menganggu', 'saya', 'diwaktu', 'saya', 'mengurus', 'administrasi', 'baik', 'untuk', 'sidang', 'maupun', 'wisuda', 'tolong', 'lebih', 'di', 'upgrade', 'lagi', 'lah', 'pelayanannya', 'kasihan', 'kampus', 'deh', 'bagus', 'bagus', 'tapi', 'kalau', 'pelayanannya', 'kureng', 'buat', 'apa', 'kurangi', 'pungli', 'pungli', 'yang', 'di', 'dalam', 'kampus', 'sih', 'sayang', 'banget', 'kalau', 'sekelas', 'kampus', 'itu', 'pln', 'di', 'dalemnya', 'masih', 'ada', 'yang', 'nyuruh', 'beli', 'ini', 'itu', 'demi', 'nilai', 'bagus', 'nanti', 'di', 'anjungannya', 'untuk', 'dosen', 'sudah', 'bagus', 'namun', 'masih', 'banyak', 'oknum”', 'yang', 'mencoreng', 'nama', 'bagus', 'dosen', 'ada', 'yang', 'tidak', 'pernah', 'masuk', 'dan', 'juga', 'ada', 'yang', 'tiba', 'tiba', 'masuk', 'waktu', 'uas', 'nyruh', 'beli', 'buku', 'kalau', 'tidak', 'beli', 'tidak', 'dapat', 'nili', 'bagus', '😂', 'semoga', 'apresiasi', 'dan', 'kritik', 'ini', 'menjadi', 'bahan', 'pertimbangan', 'staf', 'dan', 'dosen', 'dikampus', 'ini', 'meningkat']",negatif
5.0,sangat cocok untuk habis sama belajar teknik kelistrikan setiap fakultas tuh ya punya banyak laboratorium yang modern sesuai perkembangan teknologi modern,"['sangat', 'cocok', 'untuk', 'habis', 'sama', 'belajar', 'teknik', 'kelistrikan', 'setiap', 'fakultas', 'tuh', 'ya', 'punya', 'banyak', 'laboratorium', 'yang', 'modern', 'sesuai', 'perkembangan', 'teknologi', 'modern']",positif
5.0,ruang kelas bagus ada fasilitas yang mumpuni juga ada jurusan baru jadi lebih banyak dan lengkap kayak s1 teknik lingkungan s1 geografi s1 teknik sistem energi s1 rekayasa keamanan siber s1 kendaraan listrik s2 teknik sipil s2 ilmu komputer s2 teknik mesin,"['ruang', 'kelas', 'bagus', 'ada', 'fasilitas', 'yang', 'mumpuni', 'juga', 'ada', 'jurusan', 'baru', 'jadi', 'lebih', 'banyak', 'dan', 'lengkap', 'kayak', 's1', 'teknik', 'lingkungan', 's1', 'geografi', 's1', 'teknik', 'sistem', 'energi', 's1', 'rekayasa', 'keamanan', 'siber', 's1', 'kendaraan', 'listrik', 's2', 'teknik', 'sipil', 's2', 'ilmu', 'komputer', 's2', 'teknik', 'mesin']",positif
5.0,kampus kesayangan mudah dijangkau karena terlihat dengan sangat jelas dari tol dan dari jalanan biasa semoga selalu maju ya dan lekas ganti jadi ittpln banyak kenangan dan pelajaran berharga didapat dari kampus ini alat alat pendukung praktek tergolong lengkap karena memang masih yayasan pln mungkin alat ketenagalistrikan yang lengkap ini di dapat dari pln itu sendiri hibah 😊👍,"['kampus', 'kesayangan', 'mudah', 'dijangkau', 'karena', 'terlihat', 'dengan', 'sangat', 'jelas', 'dari', 'tol', 'dan', 'dari', 'jalanan', 'biasa', 'semoga', 'selalu', 'maju', 'ya', 'dan', 'lekas', 'ganti', 'jadi', 'ittpln', 'banyak', 'kenangan', 'dan', 'pelajaran', 'berharga', 'didapat', 'dari', 'kampus', 'ini', 'alat', 'alat', 'pendukung', 'praktek', 'tergolong', 'lengkap', 'karena', 'memang', 'masih', 'yayasan', 'pln', 'mungkin', 'alat', 'ketenagalistrikan', 'yang', 'lengkap', 'ini', 'di', 'dapat', 'dari', 'pln', 'itu', 'sendiri', 'hibah', '😊👍']",positif
2.0,apakah benar kalau lulusan itpln gampang cari kerja apa dicari dari kampus nya,"['apakah', 'benar', 'kalau', 'lulusan', 'itpln', 'gampang', 'cari', 'kerja', 'apa', 'dicari', 'dari', 'kampus', 'nya']",netral
1.0,ukt elit anjungan sulit 1 perubahan password harus hubungin admin dulu padahal dulu perubahan password bisa dari anjungan dan dilakukan sendiri oleh mahasiswa pemilik anjungan kalau sih admin yang ubah itu namanya bukan password 2 masalah biaya cicilan semester yang tidak jelas tidak ada informasi dianjungannya berapa perbulan dan dari tanggal berapa ke berapa pembayarannya tidak ada semuanya sistem manual harus diinput dulu berapa angkanya ribet inikan kelas karyawan waktunya bisa kuliah bisa kerja mana lah ingat bayar kuliah kapan ke kapan dikasih saran bahkan ngelunjak bukannya mau menerima saran dan perbaiki sistem jadi lebih baik bad banget pelayanan itu pln sekarang ini,"['ukt', 'elit', 'anjungan', 'sulit', '1', 'perubahan', 'password', 'harus', 'hubungin', 'admin', 'dulu', 'padahal', 'dulu', 'perubahan', 'password', 'bisa', 'dari', 'anjungan', 'dan', 'dilakukan', 'sendiri', 'oleh', 'mahasiswa', 'pemilik', 'anjungan', 'kalau', 'sih', 'admin', 'yang', 'ubah', 'itu', 'namanya', 'bukan', 'password', '2', 'masalah', 'biaya', 'cicilan', 'semester', 'yang', 'tidak', 'jelas', 'tidak', 'ada', 'informasi', 'dianjungannya', 'berapa', 'perbulan', 'dan', 'dari', 'tanggal', 'berapa', 'ke', 'berapa', 'pembayarannya', 'tidak', 'ada', 'semuanya', 'sistem', 'manual', 'harus', 'diinput', 'dulu', 'berapa', 'angkanya', 'ribet', 'inikan', 'kelas', 'karyawan', 'waktunya', 'bisa', 'kuliah', 'bisa', 'kerja', 'mana', 'lah', 'ingat', 'bayar', 'kuliah', 'kapan', 'ke', 'kapan', 'dikasih', 'saran', 'bahkan', 'ngelunjak', 'bukannya', 'mau', 'menerima', 'saran', 'dan', 'perbaiki', 'sistem', 'jadi', 'lebih', 'baik', 'bad', 'banget', 'pelayanan', 'itu', 'pln', 'sekarang', 'ini']",negatif
1.0,anak-anak kuliah disini rata-rata tidak punya attitude tiap malam berkumpul teriak2 seolah2 dikira dikampung bapaknyaotaknya pada konslet kali ya tiap tahun rata-rata begitugak cewek tidak cowok sama ajapada tidak punya etika pada sombong,"['anak-anak', 'kuliah', 'disini', 'rata-rata', 'tidak', 'punya', 'attitude', 'tiap', 'malam', 'berkumpul', 'teriak2', 'seolah2', 'dikira', 'dikampung', 'bapaknyaotaknya', 'pada', 'konslet', 'kali', 'ya', 'tiap', 'tahun', 'rata-rata', 'begitugak', 'cewek', 'tidak', 'cowok', 'sama', 'ajapada', 'tidak', 'punya', 'etika', 'pada', 'sombong']",negatif
5.0,lokasi mudah dijangkau mahasiswa dari sabang sampai merauke,"['lokasi', 'mudah', 'dijangkau', 'mahasiswa', 'dari', 'sabang', 'sampai', 'merauke']",positif
5.0,kampus kecil yang menjadikan mahasiswa menjadi orang orang hebat nantinya di bidang kelistrikan indonesia,"['kampus', 'kecil', 'yang', 'menjadikan', 'mahasiswa', 'menjadi', 'orang', 'orang', 'hebat', 'nantinya', 'di', 'bidang', 'kelistrikan', 'indonesia']",positif
5.0,sekolah tinggi teknik pln s2 teknik elektro s1 tenik elektro s1 teknik informatika s1 teknik mesin s1 teknik sipil diii teknik elektro diii teknik mesin,"['sekolah', 'tinggi', 'teknik', 'pln', 's2', 'teknik', 'elektro', 's1', 'tenik', 'elektro', 's1', 'teknik', 'informatika', 's1', 'teknik', 'mesin', 's1', 'teknik', 'sipil', 'diii', 'teknik', 'elektro', 'diii', 'teknik', 'mesin']",netral
5.0,sekolah khusus untuk teknik listrik terutama arus kuat,"['sekolah', 'khusus', 'untuk', 'teknik', 'listrik', 'terutama', 'arus', 'kuat']",netral
5.0,biaya kuliahnya mahal belum tentu semua mahasiswai masuk dalam kelas kerjasama plnpjbip karena akan direkrut di pertengahan semester bukan dari awal kita masuk jadi terkesan php kedepannya lebih baik fokusin untuk kelas kerjasama saja,"['biaya', 'kuliahnya', 'mahal', 'belum', 'tentu', 'semua', 'mahasiswai', 'masuk', 'dalam', 'kelas', 'kerjasama', 'plnpjbip', 'karena', 'akan', 'direkrut', 'di', 'pertengahan', 'semester', 'bukan', 'dari', 'awal', 'kita', 'masuk', 'jadi', 'terkesan', 'php', 'kedepannya', 'lebih', 'baik', 'fokusin', 'untuk', 'kelas', 'kerjasama', 'saja']",negatif
1.0,pintu masuk dari gerbang depan maupun gerbang belakang jorok dan kumuh pintu masuk gerbang depan saluran got banyak sampah bau nyengat pas depan klandata pintu masuk gerbang belakang banyak aktivitas pembakaran sampah penumpukan sampah berbulanbulan hingga akhirnya saya harus laporkan ke dinas lingkungan hidup maupun pihak kelurahan,"['pintu', 'masuk', 'dari', 'gerbang', 'depan', 'maupun', 'gerbang', 'belakang', 'jorok', 'dan', 'kumuh', 'pintu', 'masuk', 'gerbang', 'depan', 'saluran', 'got', 'banyak', 'sampah', 'bau', 'nyengat', 'pas', 'depan', 'klandata', 'pintu', 'masuk', 'gerbang', 'belakang', 'banyak', 'aktivitas', 'pembakaran', 'sampah', 'penumpukan', 'sampah', 'berbulanbulan', 'hingga', 'akhirnya', 'saya', 'harus', 'laporkan', 'ke', 'dinas', 'lingkungan', 'hidup', 'maupun', 'pihak', 'kelurahan']",negatif
5.0,stt pln sudah berubah status kelembagaan menjadi institut teknologi pln itu pln sebagai kampus yang modern unggul dan mandiri 👍🏻,"['stt', 'pln', 'sudah', 'berubah', 'status', 'kelembagaan', 'menjadi', 'institut', 'teknologi', 'pln', 'itu', 'pln', 'sebagai', 'kampus', 'yang', 'modern', 'unggul', 'dan', 'mandiri', '👍🏻']",positif
5.0,semoga dibawah komando prof dari ir iwa garniwa mulyana ke makan teman stt pln yang telah resmi menjadi itu pln menjadi semakin maju,"['semoga', 'dibawah', 'komando', 'prof', 'dari', 'ir', 'iwa', 'garniwa', 'mulyana', 'ke', 'makan', 'teman', 'stt', 'pln', 'yang', 'telah', 'resmi', 'menjadi', 'itu', 'pln', 'menjadi', 'semakin', 'maju']",positif
1.0,banyak aturan sttpln cengkareng jakarta barat mahasiswa nya mau masuk saja wajib pakai helm kalau kgk bawa di suruh parkir di luar gedung padahal satpamnya harus tahu yang gaji diakan dari mahasiswa dan anenya lagi saya mau anter anak saja tidak boleh masuk,"['banyak', 'aturan', 'sttpln', 'cengkareng', 'jakarta', 'barat', 'mahasiswa', 'nya', 'mau', 'masuk', 'saja', 'wajib', 'pakai', 'helm', 'kalau', 'kgk', 'bawa', 'di', 'suruh', 'parkir', 'di', 'luar', 'gedung', 'padahal', 'satpamnya', 'harus', 'tahu', 'yang', 'gaji', 'diakan', 'dari', 'mahasiswa', 'dan', 'anenya', 'lagi', 'saya', 'mau', 'anter', 'anak', 'saja', 'tidak', 'boleh', 'masuk']",negatif
5.0,menjenguk kampus sebelum ananda masuk tahun ajaran baru alhamdulillah diterima via seleksi rapot semoga semua yang mjd harapan dan citacita terwujud kan amin ya rabbal alamin,"['menjenguk', 'kampus', 'sebelum', 'ananda', 'masuk', 'tahun', 'ajaran', 'baru', 'alhamdulillah', 'diterima', 'via', 'seleksi', 'rapot', 'semoga', 'semua', 'yang', 'mjd', 'harapan', 'dan', 'citacita', 'terwujud', 'kan', 'amin', 'ya', 'rabbal', 'alamin']",positif
5.0,salah satu kampus perguruan tinggi di sekitaran jakarta barat yang cukup bagus berdekatanbdengan gardu induk pln fasilitasnya cukup lengkap,"['salah', 'satu', 'kampus', 'perguruan', 'tinggi', 'di', 'sekitaran', 'jakarta', 'barat', 'yang', 'cukup', 'bagus', 'berdekatanbdengan', 'gardu', 'induk', 'pln', 'fasilitasnya', 'cukup', 'lengkap']",positif
5.0,kampus saya ini s1 dan s2 nyajd ingat dosen2nya mantep2 sharing ilmu lapangan ya top cer dan sekarang sudah glowing dong huhu kenapa tidak pas saya masih mahasiswa,"['kampus', 'saya', 'ini', 's1', 'dan', 's2', 'nyajd', 'ingat', 'dosen2nya', 'mantep2', 'sharing', 'ilmu', 'lapangan', 'ya', 'top', 'cer', 'dan', 'sekarang', 'sudah', 'glowing', 'dong', 'huhu', 'kenapa', 'tidak', 'pas', 'saya', 'masih', 'mahasiswa']",positif
5.0,kampus yang didukung oleh dosen dosen berpengalaman proses transfer knowledge langsung dari ahlinya bukan hanya teori saja laboratorium yang cukup lengkap diantaranya lab pltu mini satu satunya kampus yang punya lab pltu ini lab waste tapi energi lab plts dan laboratorium lainnya,"['kampus', 'yang', 'didukung', 'oleh', 'dosen', 'dosen', 'berpengalaman', 'proses', 'transfer', 'knowledge', 'langsung', 'dari', 'ahlinya', 'bukan', 'hanya', 'teori', 'saja', 'laboratorium', 'yang', 'cukup', 'lengkap', 'diantaranya', 'lab', 'pltu', 'mini', 'satu', 'satunya', 'kampus', 'yang', 'punya', 'lab', 'pltu', 'ini', 'lab', 'waste', 'tapi', 'energi', 'lab', 'plts', 'dan', 'laboratorium', 'lainnya']",positif
5.0,pernah kuliah disini di s1 mesin😘 sekarang kampusnya tambah keren pas kuliah dapat beasiswa dari ypk pln dan bisa jadi asisten laboratorium selain dapat ilmu dapat honor juga buat biaya kuliahnya😇🥳,"['pernah', 'kuliah', 'disini', 'di', 's1', 'mesin😘', 'sekarang', 'kampusnya', 'tambah', 'keren', 'pas', 'kuliah', 'dapat', 'beasiswa', 'dari', 'ypk', 'pln', 'dan', 'bisa', 'jadi', 'asisten', 'laboratorium', 'selain', 'dapat', 'ilmu', 'dapat', 'honor', 'juga', 'buat', 'biaya', 'kuliahnya😇🥳']",positif
5.0,kampus yang lokasinya sangat strategis dekat dengan stasiun kereta dan bukan lokasi yang macet fasilitasnya pun sudah sangat lengkap kebetulan diriku juga alumni itpln jurusan informatika 😘😎🙌,"['kampus', 'yang', 'lokasinya', 'sangat', 'strategis', 'dekat', 'dengan', 'stasiun', 'kereta', 'dan', 'bukan', 'lokasi', 'yang', 'macet', 'fasilitasnya', 'pun', 'sudah', 'sangat', 'lengkap', 'kebetulan', 'diriku', 'juga', 'alumni', 'itpln', 'jurusan', 'informatika', '😘😎🙌']",positif
5.0,salah satu kampus teknik terbaik,"['salah', 'satu', 'kampus', 'teknik', 'terbaik']",positif
5.0,terima kasih universitas pln alhamdulliah teman saya dewan laksana lolos di universitas ini,"['terima', 'kasih', 'universitas', 'pln', 'alhamdulliah', 'teman', 'saya', 'dewan', 'laksana', 'lolos', 'di', 'universitas', 'ini']",positif
1.0,kampus elit anjungan sulit terus itu kok sombong amat student worker kalian sok keren amat yang angkatan 2020,"['kampus', 'elit', 'anjungan', 'sulit', 'terus', 'itu', 'kok', 'sombong', 'amat', 'student', 'worker', 'kalian', 'sok', 'keren', 'amat', 'yang', 'angkatan', '2020']",negatif
5.0,kampus nya bagus,"['kampus', 'nya', 'bagus']",positif
