rating,snippet,tokens,label_sentimen
4.0,kampus swasta di area yang padat luas sekali tapi sayang penataan parkir untuk tamu terutama motor kurang nyaman karena masuk ketempat parkir harus pakai kartu sedang kan tamu tidak punya dan tidak ada satuan pengamanan ditempat yang bisa memberikan bantuan petunjuk arah dalam kampus juga kurang sehingga harus putar untuk cari gedung administrasinya pelayanan ramah hanya keluhannya di tempat parkirnya,"['kampus', 'swasta', 'di', 'area', 'yang', 'padat', 'luas', 'sekali', 'tapi', 'sayang', 'penataan', 'parkir', 'untuk', 'tamu', 'terutama', 'motor', 'kurang', 'nyaman', 'karena', 'masuk', 'ketempat', 'parkir', 'harus', 'pakai', 'kartu', 'sedang', 'kan', 'tamu', 'tidak', 'punya', 'dan', 'tidak', 'ada', 'satuan', 'pengamanan', 'ditempat', 'yang', 'bisa', 'memberikan', 'bantuan', 'petunjuk', 'arah', 'dalam', 'kampus', 'juga', 'kurang', 'sehingga', 'harus', 'putar', 'untuk', 'cari', 'gedung', 'administrasinya', 'pelayanan', 'ramah', 'hanya', 'keluhannya', 'di', 'tempat', 'parkirnya']",negatif
1.0,siang hari ini hadir wisuda anak tempat wisuda kurang worted duduknya sempit panas ac kurang kudunya gedung model teather wiss,"['siang', 'hari', 'ini', 'hadir', 'wisuda', 'anak', 'tempat', 'wisuda', 'kurang', 'worted', 'duduknya', 'sempit', 'panas', 'ac', 'kurang', 'kudunya', 'gedung', 'model', 'teather', 'wiss']",negatif
5.0,jangan lupa follow ig mfft27 trmksh 🙏🤩,"['jangan', 'lupa', 'follow', 'ig', 'mfft27', 'trmksh', '🙏🤩']",netral
5.0,kampus swasta ternama lokasi di bojongsoang kabupaten bandung fasilitas kampus bagus dan lengkap,"['kampus', 'swasta', 'ternama', 'lokasi', 'di', 'bojongsoang', 'kabupaten', 'bandung', 'fasilitas', 'kampus', 'bagus', 'dan', 'lengkap']",positif
1.0,yang terhormat bapak kepala satuan pengamanan dan manajemen telekomunikasi dimohon buat peraturan yang sehat bijaksana bebaskan kami ojol masuk motor untuk mengantarkan gofood ke asrama kalau suruh jalan kaki dari parkiran ke asrama terlebih ke kedung abcd dan 678 itu sangat kejauhan menghambat waktu kami ojol yang lagi usaha mohon pengertian nya 🙏 samakan kami ojol dengan yang lainnya deliverykurir laundry kok bisa masuk kami ojol kok dilarang padahal kita sama-sama lagi usaha sekali lagi mohon pengertian nya terimakasih 🙏,"['yang', 'terhormat', 'bapak', 'kepala', 'satuan', 'pengamanan', 'dan', 'manajemen', 'telekomunikasi', 'dimohon', 'buat', 'peraturan', 'yang', 'sehat', 'bijaksana', 'bebaskan', 'kami', 'ojol', 'masuk', 'motor', 'untuk', 'mengantarkan', 'gofood', 'ke', 'asrama', 'kalau', 'suruh', 'jalan', 'kaki', 'dari', 'parkiran', 'ke', 'asrama', 'terlebih', 'ke', 'kedung', 'abcd', 'dan', '678', 'itu', 'sangat', 'kejauhan', 'menghambat', 'waktu', 'kami', 'ojol', 'yang', 'lagi', 'usaha', 'mohon', 'pengertian', 'nya', '🙏', 'samakan', 'kami', 'ojol', 'dengan', 'yang', 'lainnya', 'deliverykurir', 'laundry', 'kok', 'bisa', 'masuk', 'kami', 'ojol', 'kok', 'dilarang', 'padahal', 'kita', 'sama-sama', 'lagi', 'usaha', 'sekali', 'lagi', 'mohon', 'pengertian', 'nya', 'terimakasih', '🙏']",negatif
3.0,securitynya disana tidak ramah ya terus pada sambil ngerokok tugasnya ya saya juga orang kerja soalnya sebisa mungkin professional kalau lagi kerja kurang kurangilah ngerokok terus mungkin harus belajar cara ngehadepin orang meskipun bukan dosen tetap harus bisa ramah tamah menegur dengan cara paling tepat,"['securitynya', 'disana', 'tidak', 'ramah', 'ya', 'terus', 'pada', 'sambil', 'ngerokok', 'tugasnya', 'ya', 'saya', 'juga', 'orang', 'kerja', 'soalnya', 'sebisa', 'mungkin', 'professional', 'kalau', 'lagi', 'kerja', 'kurang', 'kurangilah', 'ngerokok', 'terus', 'mungkin', 'harus', 'belajar', 'cara', 'ngehadepin', 'orang', 'meskipun', 'bukan', 'dosen', 'tetap', 'harus', 'bisa', 'ramah', 'tamah', 'menegur', 'dengan', 'cara', 'paling', 'tepat']",negatif
5.0,2016 bisa bikin brand terimakasih ilmunya pak bi,"['2016', 'bisa', 'bikin', 'brand', 'terimakasih', 'ilmunya', 'pak', 'bi']",positif
1.0,atura sih aturan masa driver online ojol masuk harus jalan kaki tapi kurir bawa mtr jauh lempang kakak perempuan ngotak dikit,"['atura', 'sih', 'aturan', 'masa', 'driver', 'online', 'ojol', 'masuk', 'harus', 'jalan', 'kaki', 'tapi', 'kurir', 'bawa', 'mtr', 'jauh', 'lempang', 'kakak', 'perempuan', 'ngotak', 'dikit']",negatif
1.0,waste time banget di suruh jalan ke asrama putri padahal mau antar barang giliran kerabat sekuriti bisa bawa motor ke dalam kan bangkeee kalau mau paket dan makanan titip di sekuriti dan antar kedalam nya di antar sekuriti,"['waste', 'time', 'banget', 'di', 'suruh', 'jalan', 'ke', 'asrama', 'putri', 'padahal', 'mau', 'antar', 'barang', 'giliran', 'kerabat', 'sekuriti', 'bisa', 'bawa', 'motor', 'ke', 'dalam', 'kan', 'bangkeee', 'kalau', 'mau', 'paket', 'dan', 'makanan', 'titip', 'di', 'sekuriti', 'dan', 'antar', 'kedalam', 'nya', 'di', 'antar', 'sekuriti']",negatif
5.0,kampus swasta terbaik di indonesia keren,"['kampus', 'swasta', 'terbaik', 'di', 'indonesia', 'keren']",positif
