rating,snippet,tokens,label_sentimen
5.0,kampus yang sejuk aman dan nyaman untuk kuliah keamanannya 24 jam dan juga dilengkapi cctv terdapat asrama di dalam kampus dekat dari manapun dan mau kemanapun10 menit dari tol pasteur setiabudi dan terminal ledeng 15 menit dari cimahi dan cihanjuang cihampelas dan sukajadibanyak tempat kos bagus bagus dan lingkungannya bersih dan makanannya selain enak enak juga murah murah sangat cocok untuk mereka yang dari luar kota mahasiswanya sangat heterogen berasal dari seluruh kota di indonesia sangat bagus untuk menambah wawasan dan pergaulan,"['kampus', 'sejuk', 'aman', 'nyaman', 'kuliah', 'aman', '24', 'jam', 'lengkap', 'cctv', 'asrama', 'kampus', 'mana', 'kemanapun10', 'menit', 'tol', 'pasteur', 'setiabudi', 'terminal', 'ledeng', '15', 'menit', 'cimahi', 'cihanjuang', 'cihampelas', 'sukajadibanyak', 'kos', 'bagus', 'bagus', 'lingkung', 'bersih', 'makan', 'enak', 'enak', 'murah', 'murah', 'cocok', 'kota', 'mahasiswa', 'heterogen', 'asal', 'kota', 'indonesia', 'bagus', 'tambah', 'wawas', 'gaul']",positif
5.0,memilih ulbi sebagai kampus karena tertarik dengan kampus bumn nya selama kuliah disini nyaman banget sama suasana kampus nya lingkungan juga dingin dan nyaman jujur kebersihan nya terjaga banget para petugas kebersihan nya sangat telaten tiap hari nya dosen yang mengajar juga dapat menyesuaikan dengan kemampuan para mahasiswa sehingga pelajaran mudah dipahami mantap ulbi sukses terus ya,"['pilih', 'ulbi', 'kampus', 'tarik', 'kampus', 'bumn', 'nya', 'kuliah', 'nyaman', 'banget', 'suasana', 'kampus', 'nya', 'lingkung', 'dingin', 'nyaman', 'jujur', 'bersih', 'nya', 'jaga', 'banget', 'tugas', 'bersih', 'nya', 'telaten', 'nya', 'dosen', 'ajar', 'sesuai', 'mampu', 'mahasiswa', 'ajar', 'mudah', 'paham', 'mantap', 'ulbi', 'sukses', 'ya']",positif
5.0,ter nyata ada lapangan tenis di sanah baru tahu aku sekelas swasta bagus sih dari pada yang lain,"['ter', 'nyata', 'lapang', 'tenis', 'sanah', 'kelas', 'swasta', 'bagus', 'sih']",positif
1.0,kampus aneh pada masanya sebelum covid waktu masih politeknik pos indonesia orang tinggal skripsian sudah dapat magang bahkan disuruh ketua prodinya dikasih ke sodara dia nyuruh saya cari magang lain najis benar ketua prodi kampus ini pada masa itu tahu sekarang sampai ganti nama jadi ulbi makin benar apa makin bobrok moga saja dosen tersangkanya baca dan ingat punya dosa apa ke saya dan orang tua saya orang tua saya datang dari luar kota ke bandung bahkan di usir disuruh pulang lagi padahal usia orang tua saya lebih tua dari dosen itu sopan tidak woi saya tidak nunggak bayaran apapun uang gedung lunas semester lunas tapi dipersulit najis tralala memang ingat anda islam percaya ada hari dimana timbang amal baik dan buruk sudah lewat bertahun2 saya masih ingat kejadian itu dan nama dosennya buat anda sekalian sebagai orang tua lebih baik kuliahin anak anda di polman di dago polban dan lain-lain rata-rata yang kuliah disana tidak dipersulit kuliahnya ini kisah nyata saya pribadi,"['kampus', 'aneh', 'masa', 'covid', 'politeknik', 'pos', 'indonesia', 'orang', 'tinggal', 'skripsi', 'magang', 'suruh', 'ketua', 'prodinya', 'kasih', 'sodara', 'nyuruh', 'cari', 'magang', 'najis', 'ketua', 'prodi', 'kampus', 'ganti', 'nama', 'ulbi', 'bobrok', 'moga', 'dosen', 'sangka', 'baca', 'dosa', 'orang', 'tua', 'orang', 'tua', 'kota', 'bandung', 'usir', 'suruh', 'pulang', 'usia', 'orang', 'tua', 'tua', 'dosen', 'sopan', 'woi', 'nunggak', 'bayar', 'apa', 'uang', 'gedung', 'lunas', 'semester', 'lunas', 'sulit', 'najis', 'tralala', 'islam', 'percaya', 'mana', 'timbang', 'amal', 'buruk', 'bertahun2', 'jadi', 'nama', 'dosen', 'orang', 'tua', 'kuliahin', 'anak', 'polman', 'dago', 'polban', 'lain', 'rata', 'kuliah', 'sana', 'sulit', 'kuliah', 'kisah', 'nyata', 'pribadi']",negatif
4.0,aku joined this campus for 3 tahun tapi serahun virtual karena covid19 its not enough i feel like mau lanjut lagi karena vibes bareng teman teman yang kocak apalagi ngejar2 dosbing sampai malam hahahah,"['joined', 'this', 'campus', 'for', '3', 'serahun', 'virtual', 'covid19', 'its', 'not', 'enough', 'i', 'feel', 'like', 'vibes', 'bareng', 'teman', 'teman', 'kocak', 'ngejar2', 'dosbing', 'malam', 'hahahah']",positif
1.0,tidak memanusiakan mahasiswa saat ospek contohnya ada yang sakit bahkan bukannya di suruh istirahat melainkan bahkan harus tetap ikut kegiatan padahal kampus lain tidak seperti itu apa coba,"['manusia', 'mahasiswa', 'ospek', 'contoh', 'sakit', 'suruh', 'istirahat', 'giat', 'kampus', 'coba']",negatif
4.0,saya tertarik untuk mendaftarkan anak saya kuliah di sini tetapi setelah membaca beberapa ulasan yang negatif membuat saya jadi ragu,"['tarik', 'daftar', 'anak', 'kuliah', 'baca', 'ulas', 'negatif', 'ragu']",negatif
5.0,saya dulu kuliah disinitempatnya enak buat dipakai belajarmasih asri pohon2nya pun masih rindangakses angkot juga gampangtempat makan juga banyak,"['kuliah', 'disinitempatnya', 'enak', 'pakai', 'belajarmasih', 'asri', 'pohon2nya', 'rindangakses', 'angkot', 'gampangtempat', 'makan']",positif
1.0,harusnya bisa memporsikan berbagai acara disini kampus terletak bersampingan dengan masyarakat tapi yang punya management tidak berpikir dulu kalau mengadakan ataupun menyewakan gedung gor untuk acara dengan musik yang bergema keras menggebur bikin telinga sakit harusnya kalau ada acara2 dengan musik yang seperti itu jangan di gor kalau tidak sanggup sewa club minimal ditempatkan di aula atau ruangan terbuka sekalian gor tempat yang tertutup bahkan bergema sangat sangat mengganggu masyarakat sekitar,"['porsi', 'acara', 'kampus', 'letak', 'samping', 'masyarakat', 'management', 'pikir', 'ada', 'sewa', 'gedung', 'gor', 'acara', 'musik', 'gema', 'keras', 'menggebur', 'bikin', 'telinga', 'sakit', 'acara2', 'musik', 'gor', 'sanggup', 'sewa', 'club', 'minimal', 'tempat', 'aula', 'ruang', 'buka', 'gor', 'tutup', 'gema', 'ganggu', 'masyarakat']",negatif
4.0,pemandangan yang masih asri walaupun jalan masuk ke sini telalu sempit tetapi saat masuk gerbang lokasinya lumayan luas dan nyaman enak untuk menikmati suasana sunyi mencari kedamaian,"['pandang', 'asri', 'jalan', 'masuk', 'talu', 'sempit', 'masuk', 'gerbang', 'lokasi', 'lumayan', 'luas', 'nyaman', 'enak', 'nikmat', 'suasana', 'sunyi', 'cari', 'damai']",positif
4.0,menikmati pagi di wisma anggrek politeknik pos indonesia bandung lumayan untuk kegiatan dengan rombongan besar tapi sayang jalan menuju ke lokasi sempit untuk bawa rombongan dalam bus besar,"['nikmat', 'pagi', 'wisma', 'anggrek', 'politeknik', 'pos', 'indonesia', 'bandung', 'lumayan', 'giat', 'rombong', 'sayang', 'jalan', 'lokasi', 'sempit', 'bawa', 'rombong', 'bus']",negatif
5.0,kampus hijau bersih dan nyaman tapi mesjidnya kecil,"['kampus', 'hijau', 'bersih', 'nyaman', 'mesjid']",negatif
5.0,saya orang tua dari salah satu siswa ulby yang mendapat beasiswa sekarang sudah berjalan 2 tahun mengikuti proses kuliah dan tidak pernah ada tagihan biaya kuliah apapun ke saya saya yang bekerja sebagai jasa penjahit dan jualan pulsa kecil kecilan merasa sangat bersyukur dengan beasiswa yang di berikan ulby kepada anak saya alhamdulillahterimakasih ya allahterimakasih juga untuk semua pihak yang terlibat dalam program beasiswa ini semoga kelak anak saya bisa menjadi anak yang berguna bagi banyak orang dan berbakti pada orang tua amin,"['orang', 'tua', 'salah', 'siswa', 'ulby', 'beasiswa', 'jalan', '2', 'ikut', 'proses', 'kuliah', 'tagih', 'biaya', 'kuliah', 'apa', 'jasa', 'jahit', 'jual', 'pulsa', 'kecil', 'syukur', 'beasiswa', 'ulby', 'anak', 'alhamdulillahterimakasih', 'ya', 'allahterimakasih', 'libat', 'program', 'beasiswa', 'moga', 'kelak', 'anak', 'anak', 'guna', 'orang', 'bakti', 'orang', 'tua', 'amin']",positif
5.0,kampus nya cukup rindang sejuk lumayan luas lokasi nya,"['kampus', 'nya', 'rindang', 'sejuk', 'lumayan', 'luas', 'lokasi', 'nya']",positif
4.0,bangunan sudah modernhabis ini branding menjadi unipossemoga semakin maju dan bisa mencetak generasi emas untuk logistik maju indonesia,"['bangun', 'modernhabis', 'branding', 'unipossemoga', 'maju', 'cetak', 'generasi', 'emas', 'logistik', 'maju', 'indonesia']",positif
1.0,kampus terburuk yang pernah ada mencari keuntungan dengan modus beasiswa ikatan dinas beasiswa mana yang harus bayar berkalikali registrasi pertama bayar 450k diterima 750 orang lalu meminta bayar registrasi lagi akhirnya butuh uang total 1480000 hahaha wajib dicurigai sih ini kampus duh bikin malu dan trust issue saja hatihati gaes jangan sampai jadi korban,"['kampus', 'buruk', 'cari', 'untung', 'modus', 'beasiswa', 'ikat', 'dinas', 'beasiswa', 'bayar', 'berkalikali', 'registrasi', 'bayar', '450k', 'terima', '750', 'orang', 'bayar', 'registrasi', 'butuh', 'uang', 'total', '1480000', 'hahaha', 'wajib', 'curiga', 'sih', 'kampus', 'duh', 'bikin', 'malu', 'trust', 'issue', 'hatihati', 'gaes', 'korban']",negatif
