rating,snippet,tokens,label_sentimen
4.0,universitas yang menjadi bagian pertamina persero dan didukung tenaga pengajar langsung dari praktisi di pertamina grup kantinnya nyaman dengan menerapkan clsr dan safety yang ketat kampus serasa kantor dengan fasilitas olahraga yang mumpuni,"['universitas', 'pertamina', 'persero', 'dukung', 'tenaga', 'ajar', 'langsung', 'praktisi', 'pertamina', 'grup', 'kantin', 'nyaman', 'terap', 'clsr', 'safety', 'ketat', 'kampus', 'serasa', 'kantor', 'fasilitas', 'olahraga', 'mumpuni']",positif
4.0,kampus nya cukup besar lokasi pinggir jalan simprug dan banyak fasilitas nya dari parkir cukup luas lalu ada kantin 2 lantai yang ok banget menu banyak pilihan nya enak lagi ada kolam renang gor dan yang pasti ada mushola dan masjid ada residence juga yang bisa di sewa untuk umum dan terakhir di area paling depan juga di sewakan untuk acara pernikahan,"['kampus', 'nya', 'lokasi', 'pinggir', 'jalan', 'simprug', 'fasilitas', 'nya', 'parkir', 'luas', 'kantin', '2', 'lantai', 'ok', 'banget', 'menu', 'pilih', 'nya', 'enak', 'kolam', 'renang', 'gor', 'mushola', 'masjid', 'residence', 'sewa', 'area', 'sewa', 'acara', 'nikah']",positif
3.0,kami pilih kampus ini dengan harapan setelah lulus bisa tersalurkan di pertaminasejenisnya alhamdulillah wal masuk sosialisasinya alumni akan disalurkanbaik di pertamina atopun anak perusahaan qodarullah dari lulus tahu 2021 anak saya ternyt harus cari kerja sendiri dan tidak ada penyaluran apakah ada bantuanreferensi dari kampus untuk para alumni agar mendapatkan pekerjaan yang sesuai dgprodi yang dipilih di kampus ini trimakasih,"['pilih', 'kampus', 'harap', 'lulus', 'salur', 'pertaminasejenisnya', 'alhamdulillah', 'wal', 'masuk', 'sosialisasi', 'alumni', 'disalurkanbaik', 'pertamina', 'ato', 'anak', 'usaha', 'qodarullah', 'lulus', '2021', 'anak', 'ternyt', 'cari', 'kerja', 'salur', 'bantuanreferensi', 'kampus', 'alumni', 'kerja', 'sesuai', 'dgprodi', 'pilih', 'kampus', 'trimakasih']",positif
5.0,walaupun terbilang masih baru tetapi kampus ini sudah mendapat akreditasi unggul dan masuk peringkat kampus swasta terbaik di jakarta lingkungannya sangat nyaman banyak kursi di selasar jadi kalau capek tinggal duduk musholla nya juga banyak di gor abc ada 1 di gedung griya legita ada di setiap lantainya lantai 6 dan 8 untuk lakilaki lantai 5 dan 7 untuk perempuan di lantai 1 ada cafe thumbs up lantai 9 ada perpustakaan,"['bilang', 'kampus', 'akreditasi', 'unggul', 'masuk', 'peringkat', 'kampus', 'swasta', 'baik', 'jakarta', 'lingkung', 'nyaman', 'kursi', 'selasar', 'capek', 'tinggal', 'duduk', 'musholla', 'nya', 'gor', 'abc', '1', 'gedung', 'griya', 'legita', 'lantai', 'lantai', '6', '8', 'lakilaki', 'lantai', '5', '7', 'perempuan', 'lantai', '1', 'cafe', 'thumbs', 'up', 'lantai', '9', 'pustaka']",positif
4.0,campus ini memiliki sarana yang cukup lengkap dan kalau dikelola dengan baik tentu akan menghasilkan mahasiswa yang berprestasi namun memang masih ada yang harus ditingkatkan di sana sini seperti mushola yang mestinya ada di tiap gedung sehingga untuk sholat bagi tamu tidak harus keluar gedung yang cukup jauh,"['campus', 'milik', 'sarana', 'lengkap', 'kelola', 'hasil', 'mahasiswa', 'prestasi', 'tingkat', 'mushola', 'mesti', 'gedung', 'sholat', 'tamu', 'gedung']",positif
5.0,tiket nya 75 ribu untuk olympic size pool clean water wash room tempat sampah kurang banyaktersebarterlihat semoga bisa terus terjaga kualitas kebersihannya,"['tiket', 'nya', '75', 'ribu', 'olympic', 'size', 'pool', 'clean', 'water', 'wash', 'room', 'sampah', 'banyaktersebarterlihat', 'moga', 'jaga', 'kualitas', 'bersih']",positif
5.0,dulu terkenalnya dengan nama pertamina training centre namun sejak 2016 berubah menjadi universitas dan untuk umum,"['kenal', 'nama', 'pertamina', 'training', 'centre', '2016', 'ubah', 'universitas']",netral
5.0,kampus yang bagus fasilitas 90 lengkap dekat dengan jalan raya dengan tampilan warna baru memebrikan semangat baru,"['kampus', 'bagus', 'fasilitas', '90', 'lengkap', 'jalan', 'raya', 'tampil', 'warna', 'memebrikan', 'semangat']",positif
5.0,bagus universitasnyaa salam buat angel anak teknik darii jawa barat,"['bagus', 'universitasnyaa', 'salam', 'angel', 'anak', 'teknik', 'dari', 'jawa', 'barat']",positif
5.0,area kampus sangat ramah lingkungan nuansa asri dengan taman dan banyaknya pepohonan suasana belajar kondusif dan tenang maju terus universitas pertamina,"['area', 'kampus', 'ramah', 'lingkung', 'nuansa', 'asri', 'taman', 'banyak', 'pohon', 'suasana', 'ajar', 'kondusif', 'tenang', 'maju', 'universitas', 'pertamina']",positif
