page,name,link,thumbnail,rating,date,snippet,images,local_guide,label_sentimen
1,Nindyo Yuwono,https://www.google.com/maps/contrib/115691444252893282707?hl=id,https://lh3.googleusercontent.com/a/ACg8ocKNMVqFVvhLo8SheFA6g9ptFBhOG0nIArsxEzWvct27ff8q7as=s120-c-rp-mo-ba3-br100,4.0,9 bulan lalu,"Kampus para mahasiswa teknik menimba ilmu tapi fakultas tekniknya  bukan cuma jurusan elektro aja ya tapi memang fokus utamanya lebih banyak untuk mendukung usaha kelistrikan PLN dgn motto ""masa depan bidang energi itu jelas kelistrikan dan pilarnya adalah IT PLN"" kata pak Darmawan Prasojo, dirut PLN","['https://lh5.googleusercontent.com/p/AF1QipMnETBIVVsoY1aKgfKP74P4fVWLmGXBj-AQniCf=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNNDe-M2naZi7QsLO4ZCuLNSX2154UCgPzpuxg4=w150-h150-k-no-p']",True,positif
1,Muhammad Fanani Hafifudin,https://www.google.com/maps/contrib/116569555615553359034?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVwDsWtQl9WRnZubPvC59VRUgnzN4fX_XaiOudx0O3_EH_aqkeVhQ=s120-c-rp-mo-br100,2.0,4 bulan lalu,"Untuk sekarang kampus udah bagus, banyak fasilitas yang sudah memadai. Alangkah baiknya dengan majunya fasilitas ini diimbangi dengan kinerja para staf dan dosen yang bekerja disini. Agar antara mahasiswa dan staf bisa memberikan pelayanan yang terbaik. Terutama staf fakultas yang jutek dan kadang menyepelekan kebutuhan mahasiswa. Hal ini sangat menganggu saya diwaktu saya mengurus administrasi baik untuk sidang maupun wisuda. Tolong lebih di upgrade lagi lah pelayanannya, kasian kampus dah bagus bagus tapi kalau pelayanannya kureng buat apa. Kurangi pungli pungli yang di dalam kampus sihh, sayang banget kalau sekelas kampus IT PLN di dalemnya masih ada yang nyuruh beli ini itu demi nilai bagus nanti di anjungannya. Untuk dosen sudah bagus, namun masih banyak oknum” yang mencoreng nama bagus dosen. Ada yang gak pernah masuk dan juga ada yang tiba tiba masuk waktu UAS nyruh beli buku, kalau gak beli gk dpt nili bagus 😂. Semoga apresiasi dan kritik ini menjadi bahan pertimbangan staf dan dosen dikampus ini meningkat.",[],False,negatif
1,Hafizh Hilman Asyhari,https://www.google.com/maps/contrib/107470099032803643946?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUA69W-TcNMWuhNiU_hBY9DSJoCYFVmFO8HSX9ovIlhAiTTmcZP=s120-c-rp-mo-br100,5.0,4 bulan lalu,"Sangat cocok untuk abis SMA belajar teknik kelistrikan, setiap Fakultas tuh ya punya banyak laboratorium yg modern sesuai perkembangan teknologi modern.",[],True,positif
1,The Scrivener's Presenter Global,https://www.google.com/maps/contrib/114068479765775086109?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJzWUP_Q4L9GtLy-v75iclmFL5NCKCFpI2tWtMk4g-jODV4UQ=s120-c-rp-mo-br100,5.0,10 bulan lalu,"Ruang kelas bagus. Ada fasilitas yg mumpuni

Juga ada jurusan baru jadi lebih banyak dan lengkap kayak
S1 Teknik Lingkungan
S1. Geografi
S1. Teknik Sistem Energi
S1. Rekayasa Keamanan Siber
S1. Kendaraan Listrik

S2. Teknik Sipil
S2 Ilmu Komputer
S2 Teknik Mesin",['https://lh5.googleusercontent.com/p/AF1QipO36OqGXR4juTQfpSs7C9Fzt9Rf6foE_hqnDdIZ=w150-h150-k-no-p'],True,positif
1,MUHAMMAD RIZKY,https://www.google.com/maps/contrib/102853846019092200213?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUgqmLXEkv8YNf17juMmMOPs1FJqBxRpUfEA7wd7Ybs4BwBOpLgUQ=s120-c-rp-mo-ba4-br100,5.0,5 tahun lalu,"Kampus kesayangan. Mudah dijangkau karna terlihat dengan sangat jelas dari tol dan dari jalanan biasa. Semoga selalu maju ya dan lekas ganti jadi ITT-PLN. Banyak kenangan dan pelajaran berharga didapat dari kampus ini. Alat alat pendukung praktek tergolong lengkap. Karna memang masih yayasan PLN, mungkin alat ketenagalistrikan yang lengkap ini di dapat dari PLN itu sendiri (hibah?). 😊👍","['https://lh5.googleusercontent.com/p/AF1QipPlrV0TBiV7cFQHm-Kmsjw9x7BBvzuA888BH35y=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNqxBF09Q-eljBe1hsldfGRZ9f8dlidvbJSDMbM=w150-h150-k-no-p']",True,positif
1,Si Jabat,https://www.google.com/maps/contrib/107326891530378331563?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXD1z_4TE6VUu4RdT10ilvLPW_-OsYkf8znjrjTHKamKWwhFegT=s120-c-rp-mo-br100,2.0,4 bulan lalu,"Apakah benar klo lulusan itpln gampang cari kerja, apa dicari dari kampus nya. ?",[],True,netral
1,Aprida Siahaan,https://www.google.com/maps/contrib/115473342223161476586?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXzPHPskQp5-ut3cgr5UW60B42dCWbeB1peY3q5moXBB0lbF9unXw=s120-c-rp-mo-ba2-br100,1.0,10 bulan lalu,"UKT ELIT ANJUNGAN SULIT.
1. perubahan password harus hubungin admin dulu, padahal dulu perubahan password bisa dari anjungan dan dilakukan sendiri oleh mahasiswa pemilik anjungan, kalau si admin yang ubah itu namanya BUKAN PASSWORD.
2. Masalah biaya cicilan semester yang tidak jelas, tidak ada info dianjungannya berapa perbulan dan dari tanggal berapa ke berapa pembayarannya (TIDAK ADA!) semuanya sistem manual harus diinput dulu berapa angkanya, RIBET! Inikan kelas karyawan, waktunya bisa kuliah bisa kerja! Mana lah inget bayar kuliah kapan ke kapan, dikasih saran malah ngelunjak, bukannya mau nerima saran dan perbaiki sistem jadi lebih baik! Bad bgt pelayanan it pln sekarang ini!",[],True,negatif
1,Irvan Adianto,https://www.google.com/maps/contrib/115077895727919440414?hl=id,https://lh3.googleusercontent.com/a/ACg8ocKsp8F8DmdLX2JZm3rZRZoamebCWSxloaSCWMpfweSn0qCu5w=s120-c-rp-mo-br100,1.0,7 bulan lalu,"ANAK2 KULIAH DISINI RATA2 GK PUNYA ATTITUDE, TIAP MALAM NGUMPUL TERIAK2 SEOLAH2 DIKIRA DIKAMPUNG BAPAKNYA...Otaknya pd konslet kali ya, TIAP TAHUN RATA2 BEGITU...GAK CEWEK, GAK COWOK SAMA AJA...PADA GAK PUNYA ETIKA, PADA SONGONG",[],True,negatif
2,Cahyana Wiyana,https://www.google.com/maps/contrib/107745350943513027922?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjU6EFpECq_k_DpqSfixzI5p8FkgP4k7mCXoiUzZGIEl7t93XpA-=s120-c-rp-mo-br100,5.0,6 tahun lalu,"Lokasi mudah dijangkau,  mahasiswa dari Sabang sampai Merauke","['https://lh5.googleusercontent.com/p/AF1QipPkLccQMt_2W8whoRJNJnOyNEwv9KVvV-zw5sRt=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNQGqAbC-KwbgULq7r9l8GiG6Ac72lLZllhgSmI=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOVsJ9d9Ex6RnHvSihnB8UrE_5cWGx-AAVHqVtD=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipP-gssR7IUDWUJRPh_oFrfMYuCTfYuN0XhMENQu=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNiUcSHdW6v-nVuaxtjpO8OBXsSKAHRcBpO8d1d=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMLK_9Q5UiicadCSW7ZsL-QKpdZR07izUGst14-=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMHSxfCnH-PRG584UY8japBX7CWivgj1BgJL0Wo=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNehzaGHbWXs9zpoEAe-f9l2m2TriidtcKy_1xA=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipO-HyT6axcvdfUo4i_m9BKpL-gWT-aBPncqHz1M=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMuucfmZVqjLGC2jEaMHVbt_mK7cM9SEV7vZtxH=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipOmxiEzpihU3rVTK82qVqJDBwozNPdg8w24N0Wp=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipMz1OqSZuqKjI1bUoM94FjmId4GlFfnmAYlC-27=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipN4GlSyvfE0sCx-ZXd6emDoLxehf3as0twHRNH4=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipO9FgAZwPubgXB6Ca_jA-ccl4Y-ETY3-vvoivAQ=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipN0Q5XWPeUTyKwYi-H5CnSmupAB0ucOFsgK340y=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipPj69J1v5EmZ6OcOGOdf4EGM9kQ5g2D2dEoxt65=w150-h150-k-no-p', 'https://lh5.googleusercontent.com/p/AF1QipNFMtWCkaQpB3Lv2YnztcovmHOkQVBurw5EodM9=w150-h150-k-no-p']",False,positif
2,Aldian Rahman,https://www.google.com/maps/contrib/110544645743241055918?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWskZvd3F0qZCDthn9HhfBO5i_R0xuTZvAY0SuirRg2ekfI9YNF=s120-c-rp-mo-br100,5.0,7 tahun lalu,Kampus kecil yang menjadikan mahasiswa menjadi orang orang hebat nantinya di bidang kelistrikan indonesia,['https://lh5.googleusercontent.com/p/AF1QipO0hHuBe3pMQedA3mxA0BxtdRImVzLi88wn_6hD=w150-h150-k-no-p'],True,positif
