page,name,link,thumbnail,rating,date,snippet,images,local_guide,label_sentimen
1,"Dr Rachmat Tri Yuli Yanto SE.,MM.",https://www.google.com/maps/contrib/110981111758349944667?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVe_lDpqYLJbf7cLzJTFxOFor9bw3I3j_xV_nBodAeqw_vMWh0=s120-c-rp-mo-br100,5.0,sebulan lalu,"kampus yang sejuk, aman dan nyaman utk kuliah. keamanannya 24 jam dan juga dilengkapi cctv. terdapat asrama di dalam kampus. dekat dari manapun dan mau kemanapun,10 menit dari tol pasteur, setiabudi dan terminal ledeng, 15 menit dari cimahi dan cihanjuang, cihampelas dan sukajadi..Banyak tempat kos bagus bagus dan lingkungannya bersih dan makanannya selain enak enak juga murah murah. sangat cocok utk mereka yang dari luar kota. mahasiswanya sangat heterogen berasal dari seluruh kota di Indonesia. sangat bagus untuk menambah wawasan dan pergaulan.",,True,positif
1,Najwa Khalisha,https://www.google.com/maps/contrib/108173039537244344921?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjVL5ihNt-muxK6NTIrnXJv3lIefz-CwZKmjCXTx8WFvfE2z1Bhv=s120-c-rp-mo-br100,5.0,3 bulan lalu,"Milih ULBI sebagai kampus karna tertarik dengan kampus BUMN nya, selama kuliah disini nyaman banget sama suasana kampus nya, lingkungan juga dingin dan nyaman, jujur kebersihan nya terjaga bgt para petugas kebersihan nya sangat telaten tiap hari nya, Dosen yang mengajar juga dapat menyesuaikan dengan kemampuan para mahasiswa sehingga pelajaran mudah dipahami, mantap ULBI sukses terus yaa",,,positif
1,adudu yud,https://www.google.com/maps/contrib/118065083597767237669?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjX5TACg27vEG8M1fcmfEU4awlXvazp8xkWtuMDFu8vry-4xReE=s120-c-rp-mo-br100,5.0,2 minggu lalu,Ter nyata ad lapangan tenis di sanah baru tau aku sekelas swasta bagus sih dari pada yang lain,,True,positif
1,PEMBERI ULASAN,https://www.google.com/maps/contrib/113905104051885653398?hl=id,https://lh3.googleusercontent.com/a/ACg8ocItSVM5BCtD4NAH38NRem1qb970EZfZLUn7pTVFRgRSWNG-0g=s120-c-rp-mo-br100,1.0,5 bulan lalu,"kampus aneh pada masanya sebelum covid , waktu masih politeknik pos indonesia. orang tinggal skripsian, udh dapat magang, malah disuruh ketua prodinya dikasih ke sodara dia. nyuruh saya cari magang lain. najis bener ketua prodi kampus ini pada masa itu. tau sekarang sampe ganti nama jadi ULBI, makin bener apa makin bobrok. moga aja dosen tersangkanya baca dan inget punya dosa apa ke saya dan orang tua saya.

orang tua saya datang dari luar kota ke bandung,  malah di usir , disuruh pulang lagi, padahal usia orang tua saya lebih tua dari dosen itu. SOPAN ?? kagak woi.

saya tidak nunggak bayaran apapun, uang gedung lunas, semester lunas. tapi dipersulit. najis tralala emang. inget anda islam, percaya ada hari dimana timbang amal baik dan buruk. sudah lewat bertahun2 saya masih inget kejadian itu dan nama dosennya,

buat anda sekalian sebagai orang tua , lebih baik kuliahin anak anda di POLMAN di dago, POLBAN, DLL. rata2 yang kuliah disana ga dipersulit kuliahnya.

ni kisah nyata saya pribadi.",,,negatif
1,Nadiya Nur Altavia,https://www.google.com/maps/contrib/106553010397384154163?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWDoRjcG9JQ1k0vkRgu1d7jMvEayGSO82QyIkbnQ1cGZWFqc1fu=s120-c-rp-mo-br100,4.0,setahun lalu,"Aku joined this campus for 3 tahun tapi serahun virtual karna covid19, it's not enough! I feel like mau lanjut lagi karna vibes bareng temen temen yg kocak apalagi ngejar2 dosbing sampe malem hahahah","['https://lh3.googleusercontent.com/geougc-cs/AB3l90CUDiMtmvI9NlnGqnFZFPpHfJypTYNaADG7WNE8WSM3PJsYXJ6xqo3uX2ieU8nC9o7Fog8TGCa4KZpNMd44fCwZMitBt2xbQVL7Z5dZgvk9tBqQ6Q5LM4I9Ld6gkysAkZCo2O29dw', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Arvte9YkLn1B9Stj8dT3j382L8NrfKHfwvJwGzM5RF_rxZOPA4LWjwqYRuS1J8v1Az7M24B5qqjlQl3lAEydx9WuspHT7EO9bnDx-N3pORrJTTe1KxWb0DdJ78FRI-azfjEwWt', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Dav01C2qGTraYEV5wb2KmKdbeaphIcu9BjKpMtEHZkFE8q42ssU6undIh6no8FM_ejfwd-AHsoiHFiJugizzgcdab3ijG2aSjL7MPPAR-zXDNuz5cXOCBWMEwkYV8j6tm6zOddXw']",,positif
1,Naufal Adilla Bestari,https://www.google.com/maps/contrib/105200658812355152852?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUgBc6YnM4LH6ePu88E-em7XKJSoPd4fuIM7XJVAwHuWTKCgr4M=s120-c-rp-mo-br100,1.0,6 bulan lalu,"Tidak memanusiakan mahasiswa saat ospek contohnya, ada yg sakit malah bukannya di suruh istirahat melainkan malah harus tetap ikut kegiatan, pdhal kampus lain tak seperti itu, apaan coba",,True,negatif
1,Supono Jaten,https://www.google.com/maps/contrib/107223897821267575963?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWj1IDMEkIm2lKBatmjCVcdmRybtWa2ZqRLZerZXqyGY6TNKq0yqg=s120-c-rp-mo-ba4-br100,4.0,3 bulan lalu,"Saya tertarik untuk mendaftarkan anak saya kuliah di sini, tetapi setelah membaca beberapa ulasan yg negatif membuat saya jadi ragu.",,True,negatif
1,laila rahmawatika,https://www.google.com/maps/contrib/113638490230408781364?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjWRFS3VN3STnF7n49l7-ycCjUrLhuNq7_07KIiaK4VV1_LQqsdn=s120-c-rp-mo-ba3-br100,5.0,5 tahun lalu,Saya dulu kuliah disini..tempatnya enak buat dipake belajar..masih asri pohon2nya pun masih rindang.akses angkot jg gampang.tempat makan jg banyak.,"['https://lh3.googleusercontent.com/geougc-cs/AB3l90APStq9vduNU8eqKJI89FvKew-NYFWNELZfyHLruVT72jV9m9iDKok90pFU3aa50Go-WiXsZyfety5z6x1ZgTI5KsgZYiqap5PO4gzlpNcrxZHChxC_tqTqJEoQMcbZWW2GCaV5', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90A1br8D91eR-S_ouzHIE6EpREHmtP1obUn6m0mG_JCwJum8GcltY8wdwXkTs7Mp2_TcaAHek0EaJqTMm2comwgCrGNQglvkds0NDn9iGuV6pnSQ5Qd2IhLTkQ47jFaGtPYYyyJOgg', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90CsYSmO3WDZ61Ibl0MFY0zXknOeiYprY86lPVZR3ueeNVzgGVIly5Dc8X4PNmd0XhGVxdUQuPnxEqsjvcysaI0b-u0eNZpOCWuWyXzPFnJ4jVHT5hdIUMzTINkw7Dl6Oo_KqJmbXw']",True,positif
2,Aqila Ashfa Afiza,https://www.google.com/maps/contrib/104567806303060564802?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUSl3ISdoSJKObnnLimzfQIFx0P_IVxAJcTlBSynbKcJNjBOYw=s120-c-rp-mo-br100,1.0,7 bulan lalu,"Harusnya bisa memporsikan berbagai acara..
Disini kampus terletak bersampingan dgn masyarakat,, tapi yg punya management gaa berpikir dl klo mengadakan ataupun menyewakan gedung GOR utk acara..
Dengan musik yg bergema keras, menggebur, bikin telinga sakit..

Harusnya klo ada acara2 dgn musik yg seperti itu jgn di gor,, klo gaa sanggup sewa club minimal ditempatkan di aula atau ruangan terbuka sekalian, GOR tempat yg tertutup bahkan bergema,, sangat sangat mengganggu masyarakat sekitar!!!!!!!!!!!!!!!!!!!!!!!!!!!",,True,negatif
2,Febriana Ayu Permatasari (Ay_persa),https://www.google.com/maps/contrib/107724008963761663229?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjU9J1PXKAN4Y6PNTV2lZtQ08V3ItSozXgL68uBqMYUtZwE-EwsZAw=s120-c-rp-mo-ba6-br100,4.0,5 tahun lalu,"Pemandangan yang masih asri. Walaupun jalan masuk ke sini telalu sempit. Tetapi saat masuk gerbang, lokasinya lumayan luas dan nyaman. Enak untuk menikmati suasana sunyi mencari kedamaian","['https://lh3.googleusercontent.com/geougc-cs/AB3l90A438-HmnKjOeQ3IAcpVE6IM-P2YAe-uvZiUlrlx440FyC-4qr3_fqgYo8IjQmAM5b4yh9Pg0ubmbUen_lV67uEHAIPRWImCuYkHAuSCZU_4rID2D3N8DeOsUx4iRDbUMtRvMew', 'https://lh3.googleusercontent.com/geougc-cs/AB3l90Ahk76_lfGZlntnk_qBBysCExNQgYtOAJ_oVtr-aPjSBGz7Yt7cdK6g9Fn4sPQatfK6h-2vLs1811ywdQAOzzIHTUstIElA9xFfOLbSc76T23SAT44xtSwM1ntKwpMJm5Oh5vn5']",True,positif
